aaa	Acidovorax avenae
vcm	Vibrio cholerae M66-2
vcn	Volvox carteri f. nagariensis
vco	Vibrio cholerae O395
vcq	Vibrio cholerae 2012EL-2176
vcr	Vibrio cholerae O395
vcs	Vibrio cholerae MS6
vct	Vibrio coralliilyticus OCN014
vcy	Vibrio coralliilyticus RE98
vda	Verticillium dahliae
vdi	Vulcanisaeta distributa
vei	Verminephrobacter eiseniae
vej	Vibrio sp. EJY3
vex	Vibrio sp. Ex25
vfi	Aliivibrio fischeri ES114
vfm	Aiivibrio fischeri MJ11
vfu	Vibrio furnissii
vha	Vibrio campbellii
vir	Virgibacillus sp. SK37
vma	Verrucosispora maris
vmo	Vulcanisaeta moutnovskia
vni	Vibrio nigripulchritudo
vok	Candidatus Vesicomyosocius okutanii (Calyptogena okutanii)
vpa	Vibrio parahaemolyticus RIMD 2210633
vpb	Vibrio parahaemolyticus BB22OP
vpd	Variovorax paradoxus B4
vpe	Variovorax paradoxus EPS
vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
vph	Vibrio parahaemolyticus UCM-V493
vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
vpo	Vanderwaltozyma polyspora
vpr	Veillonella parvula
vsa	Aliivibrio salmonicida
vsp	Vibrio splendidus
vtu	Vibrio tubiashii
vvi	Vitis vinifera (wine grape)
vvl	Vibrio vulnificus 93U204
vvm	Vibrio vulnificus MO6-24/O
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
wbm	Wolbachia wBm (Brugia malayi)
wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
wce	Weissella ceti WS08
wch	Waddlia chondrophila
wci	Weissella ceti WS105
wcl	Wolbachia wCle (Cimex lectularius)
wct	Weissella ceti WS74
wed	Wolbachia wNo (Drosophila simulans)
wen	Wolbachia wHa (Drosophila simulans)
wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
wic	Wallemia ichthyophaga
win	Winogradskyella sp. PG-2
wko	Weissella koreensis
wol	Wolbachia wMel (Drosophila melanogaster)
woo	Wolbachia wOo (Onchocerca ochengi)
wpi	Wolbachia wPip (Culex quinquefasciatus)
wri	Wolbachia wRi (Drosophila simulans)
wse	Wallemia sebi
wsu	Wolinella succinogenes
wvi	Weeksella virosa
wwe	Candidate division WWE3 bacterium RAAC2_WWE3_1
xac	Xanthomonas citri pv. citri 306
xal	Xanthomonas albilineans
xao	Xanthomonas axonopodis Xac29-1
xau	Xanthobacter autotrophicus
xax	Xanthomonas alfalfae
xbo	Xenorhabdus bovienii
xca	Xanthomonas campestris pv. campestris B100
xcb	Xanthomonas campestris pv. campestris 8004
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xce	Xylanimonas cellulosilytica
xci	Xanthomonas citri subsp. citri Aw12879
xcp	Xanthomonas campestris pv. raphani
xct	Xanthomonas citri subsp. citri A306
xcv	Xanthomonas campestris pv. vesicatoria
xfa	Xylella fastidiosa 9a5c
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfl	Xylella fastidiosa MUL0034
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xft	Xylella fastidiosa Temecula1
xfu	Xanthomonas fuscans
xla	Xenopus laevis (African clawed frog)
xma	Xiphophorus maculatus (southern platyfish)
xne	Xenorhabdus nematophila
xom	Xanthomonas oryzae pv. oryzae MAFF311018
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xop	Xanthomonas oryzae pv. oryzae PXO99A
xor	Xanthomonas oryzae pv. oryzicola
xsa	Xanthomonas sacchari
xtr	Xenopus tropicalis (western clawed frog)
yal	Yersinia aldovae
yel	Yersinia enterocolitica LC20
yen	Yersinia enterocolitica subsp. enterocolitica 8081
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r)
yet	Yersinia enterocolitica 2516-87
yew	Yersinia enterocolitica WA
yey	Yersinia enterocolitica subsp. palearctica Y11
yfr	Yersinia frederiksenii
yin	Yersinia intermedia
ykr	Yersinia kristensenii
yli	Yarrowia lipolytica
ypa	Yersinia pestis Antiqua (biovar Antiqua)
ypb	Yersinia pseudotuberculosis PB1/+
ypc	Yersinia pseudotuberculosis 1
ypd	Yersinia pestis D106004
ype	Yersinia pestis CO92 (biovar Orientalis)
ypg	Yersinia pestis Angola
yph	Yersinia pestis biovar Medievalis Harbin 35
ypi	Yersinia pseudotuberculosis IP31758 (serotype O:1b)
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
ypm	Yersinia pestis 91001 (biovar Microtus)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypp	Yersinia pestis Pestoides F
ypq	Yersinia pseudotuberculosis ATCC 6904
ypr	Yersinia pseudotuberculosis EP2/+
yps	Yersinia pseudotuberculosis IP32953 (serotype I)
ypt	Yersinia pestis A1122
ypu	Yersinia pseudotuberculosis MD67
ypx	Yersinia pestis D182038
ypy	Yersinia pseudotuberculosis YPIII
ypz	Yersinia pestis Z176003
yro	Yersinia rohdei
yru	Yersinia ruckeri
ysi	Yersinia similis
zga	Zobellia galactanivorans
zin	Candidatus Zinderia insecticola
zma	Zea mays (maize)
zmb	Zymomonas mobilis subsp. mobilis ATCC 29191
zmc	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmi	Zymomonas mobilis subsp. mobilis CP4 = NRRL B-14023
zmm	Zymomonas mobilis subsp. mobilis ATCC 10988
zmn	Zymomonas mobilis subsp. mobilis NCIMB 11163
zmo	Zymomonas mobilis subsp. mobilis ZM4
zmp	Zymomonas mobilis subsp. pomaceae ATCC 29192
zmr	Zymomonas mobilis subsp. mobilis NRRL B-12526
zpr	Zunongwangia profunda
zro	Zygosaccharomyces rouxii
ztr	Zymoseptoria tritici
